,S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
25,25,Honda City Corporate,Mumbai,2012,51920,Petrol,Manual,First,16,1497,116,5,4
26,26,Nissan Micra Diesel,Hyderabad,2012,54000,Diesel,Manual,First,23,1461,63,5,4
27,27,Maruti Alto K10,Hyderabad,2013,54000,Petrol,Manual,Second,20,998,67,5,3
28,28,Honda WRV i-VTEC,Kochi,2018,37430,Petrol,Manual,First,17,1199,88,5,10
29,29,Toyota Innova 2.5,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12,2494,102,7,4
30,30,Renault Duster 110PS,Bangalore,2013,62000,Diesel,Manual,First,19,1461,108,5,8
31,31,Toyota Corolla Altis,Delhi,2012,87615,Petrol,Manual,First,14,1798,138,5,7
32,32,Mahindra Ssangyong Rexton,Bangalore,2013,72000,Diesel,Automatic,Second,11,2696,184,7,12
33,33,Audi A6 2.7,Kolkata,2010,35000,Diesel,Automatic,First,12,2698,179,5,12
34,34,Volkswagen Vento 1.6,Coimbatore,2014,55431,Petrol,Manual,Second,16,1598,103,5,7
35,35,Maruti Wagon R,Jaipur,2009,83816,Petrol,Manual,Second,14,1061,64,5,2
36,36,Maruti Vitara Brezza,Kochi,2018,50075,Diesel,Manual,First,24,1248,88,5,9
37,37,Mahindra KUV 100,Delhi,2017,52000,Petrol,Manual,First,18,1198,82,5,5
38,38,Mercedes-Benz M-Class ML,Pune,2013,85000,Diesel,Automatic,First,11,2987,254,5,28
39,39,Volkswagen Polo Diesel,Chennai,2013,62000,Diesel,Manual,First,22,1199,73,5,5
40,40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19,796,46,5,1
41,41,Tata Nano LX,Kochi,2014,19698,Petrol,Manual,First,25,624,37,4,2
42,42,Mahindra KUV 100,Coimbatore,2017,22033,Diesel,Manual,First,25,1198,77,6,6
43,43,Hyundai i20 Magna,Kochi,2014,35487,Petrol,Manual,First,18,1197,82,5,5
44,44,Hyundai Elantra 2.0,Bangalore,2014,46374,Petrol,Automatic,First,14,1999,149,5,9
45,45,Toyota Corolla Altis,Mumbai,2016,52001,Petrol,Automatic,First,14,1798,138,5,10
46,46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14,1991,112,5,4
47,47,Toyota Innova Crysta,Bangalore,2012,70704,Petrol,Manual,First,11,2694,163,7,11
48,48,Hyundai Xcent 1.1,Jaipur,2014,75000,Diesel,Manual,First,24,1120,71,5,4
49,49,Mahindra Thar CRDe,Jaipur,2012,75800,Diesel,Manual,Second,16,2498,105,6,6
50,50,Audi A4 2.0,Kochi,2015,13648,Diesel,Automatic,First,17,1968,174,5,21
51,51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22,1248,74,5,4
52,52,Maruti Swift Ldi,Kolkata,2014,53000,Diesel,Manual,First,17,1248,75,5,3
53,53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28,1248,74,5,4
54,54,Hyundai Grand i10,Chennai,2015,54000,Petrol,Manual,Third,18,1197,82,5,4
55,55,Volkswagen Vento 2013-2015,Kolkata,2015,39000,Petrol,Manual,First,15,1598,103,5,4
56,56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25,799,53,5,3
57,57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20,1197,78,5,2
58,58,Nissan X-Trail SLX,Hyderabad,2010,121812,Diesel,Automatic,First,13,1995,147,5,8
59,59,Maruti Zen Estilo,Hyderabad,2010,39300,Petrol,Manual,First,18,998,67,5,2
60,60,Toyota Innova Crysta,Mumbai,2017,22000,Diesel,Manual,First,13,2393,147,8,16
61,61,Ford Figo Diesel,Bangalore,2010,72000,Diesel,Manual,First,20,1399,68,5,3
62,62,Mercedes-Benz New C-Class,Delhi,2015,58000,Petrol,Automatic,First,11,1796,186,5,27
63,63,Mercedes-Benz New C-Class,Pune,2011,65000,Diesel,Manual,Second,15,2148,170,5,10
64,64,Tata Indica V2,Chennai,2016,178000,Diesel,Manual,First,25,1396,69,5,2
65,65,Audi A4 2.0,Jaipur,2012,65664,Diesel,Automatic,First,16,1968,140,5,14
66,66,Honda City ZX,Mumbai,2007,63000,Petrol,Automatic,Second,16,1497,78,5,2
67,67,Mercedes-Benz C-Class Progressive,Coimbatore,2019,15369,Diesel,Automatic,First,0,1950,194,5,36
68,68,Maruti Ertiga SHVS,Pune,2016,63000,Diesel,Manual,First,24,1248,88,7,8
69,69,Hyundai Creta 1.4,Mumbai,2018,13000,Diesel,Manual,First,22,1396,88,5,10
70,70,Porsche Cayenne 2009-2014,Mumbai,2008,73000,Petrol,Automatic,First,8,4806,500,5,14
71,71,Mahindra XUV500 W8,Mumbai,2015,55729,Diesel,Manual,First,15,2179,140,7,10
72,72,Hyundai i10 Sportz,Kochi,2012,45178,Petrol,Automatic,First,16,1197,78,5,3
73,73,Nissan Terrano XV,Kochi,2015,56066,Diesel,Manual,First,19,1461,108,5,7
74,74,Honda Brio VX,Coimbatore,2016,37300,Petrol,Automatic,Second,16,1198,86,5,6
75,75,Audi A6 2.0,Delhi,2014,56000,Diesel,Automatic,Second,18,1968,187,5,30
77,77,Toyota Innova 2.0,Chennai,2006,230000,Petrol,Manual,Third,12,1998,132,8,4
78,78,Toyota Innova 2.5,Hyderabad,2012,104000,Diesel,Manual,First,12,2494,102,7,12
80,80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22,1248,74,5,4
81,81,Tata Zest Revotron,Pune,2017,70000,Petrol,Manual,First,17,1193,88,5,4
82,82,Honda Amaze SX,Kochi,2016,54944,Petrol,Manual,First,18,1198,86,5,5
83,83,Ford Figo Diesel,Hyderabad,2012,70337,Diesel,Manual,First,20,1399,68,5,3
84,84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23,1248,73,5,3
85,85,Honda City i,Delhi,2009,52000,Petrol,Manual,First,17,1497,117,5,3
86,86,BMW 5 Series,Delhi,2011,75000,Diesel,Automatic,Second,16,1995,218,5,14
87,87,Hyundai i10 Sportz,Pune,2009,95980,Petrol,Manual,First,20,1197,78,5,2
88,88,Hyundai Grand i10,Bangalore,2016,16000,Petrol,Manual,First,18,1197,82,5,6
90,90,Honda Amaze SX,Mumbai,2016,18949,Petrol,Manual,First,17,1198,86,5,5
91,91,Toyota Fortuner 4x2,Delhi,2014,107000,Diesel,Manual,First,13,2982,168,7,16
92,92,Audi A6 2011-2015,Coimbatore,2018,48367,Diesel,Automatic,First,17,1968,174,5,40
93,93,Ford Ecosport 1.5,Delhi,2013,57000,Diesel,Manual,First,22,1498,89,5,6
94,94,Mahindra XUV500 W8,Delhi,2014,58000,Diesel,Manual,First,15,2179,140,7,8
95,95,Honda Amaze SX,Kolkata,2015,30000,Diesel,Manual,First,25,1498,98,5,4
96,96,Volkswagen Polo Diesel,Kolkata,2013,34212,Diesel,Manual,First,22,1199,73,5,3
97,97,Hyundai Verna Transform,Ahmedabad,2010,70002,Diesel,Manual,First,16,1493,110,5,3
98,98,Maruti Wagon R,Bangalore,2016,62000,Petrol,Manual,First,18,998,67,5,4
99,99,Volkswagen Polo Petrol,Delhi,2010,62001,Petrol,Manual,First,15,1598,103,5,3
100,100,Hyundai i20 1.4,Pune,2011,78958,Diesel,Manual,Second,23,1396,90,5,4
101,101,Hyundai i20 Asta,Mumbai,2014,30180,Petrol,Manual,First,18,1197,82,5,5
102,102,Datsun GO Plus,Pune,2017,32851,Petrol,Manual,First,19,1198,67,7,4
103,103,Audi A4 3.0,Kolkata,2010,30000,Diesel,Automatic,First,14,2967,241,5,10
104,104,Hyundai i20 2015-2017,Pune,2009,66000,Petrol,Manual,Second,17,1197,80,5,3
105,105,Maruti Omni 5,Coimbatore,2010,93850,Petrol,Manual,First,14,796,35,5,2
106,106,Toyota Etios Liva,Ahmedabad,2014,53000,Petrol,Manual,First,17,1197,78,5,4
107,107,Jaguar XF 3.0,Hyderabad,2011,78000,Diesel,Automatic,Second,14,2993,270,5,24
108,108,Mahindra XUV500 W8,Delhi,2012,65000,Diesel,Manual,Second,16,2179,140,7,6
109,109,Hyundai Verna 1.6,Kolkata,2014,40000,Diesel,Automatic,First,22,1582,126,5,5
110,110,Toyota Innova Crysta,Mumbai,2017,30000,Diesel,Automatic,First,11,2755,171,7,19
111,111,Maruti Eeco 5,Coimbatore,2017,38053,Petrol,Manual,First,15,1196,73,5,4
112,112,Tata Nano Twist,Bangalore,2014,25500,Petrol,Manual,First,25,624,37,4,2
113,113,BMW 3 Series,Mumbai,2015,56087,Diesel,Automatic,First,22,1995,190,5,21
114,114,Honda Civic 2006-2010,Delhi,2010,71088,Petrol,Manual,First,13,1799,130,5,3
115,115,Toyota Innova 2.5,Ahmedabad,2014,55000,Diesel,Manual,First,12,2494,100,7,11
116,116,Volvo V40 Cross,Bangalore,2014,32700,Diesel,Automatic,First,23,1984,150,5,20
117,117,Nissan Micra XV,Coimbatore,2016,39882,Petrol,Automatic,First,19,1198,75,5,7
118,118,BMW 5 Series,Mumbai,2009,128000,Petrol,Automatic,First,10,2497,215,5,7
119,119,Maruti Vitara Brezza,Mumbai,2016,55000,Diesel,Manual,First,24,1248,88,5,8
121,121,Mercedes-Benz B Class,Pune,2014,53753,Diesel,Automatic,Second,15,2143,107,5,17
122,122,Hyundai Verna CRDi,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126,5,11
123,123,Maruti Wagon R,Pune,2011,43874,Petrol,Manual,First,18,998,67,5,2
124,124,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21,624,37,4,3
125,125,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12,2179,120,8,8
126,126,Mercedes-Benz New C-Class,Kolkata,2009,28352,Petrol,Automatic,First,11,1796,178,5,9
127,127,Maruti Wagon R,Pune,2013,89900,CNG,Manual,First,26,998,58,5,3
128,128,Honda CR-V 2.4,Bangalore,2007,47700,Petrol,Manual,Second,10,2354,152,5,5
129,129,Volkswagen Vento 1.5,Pune,2015,55000,Diesel,Automatic,First,21,1498,103,5,7
130,130,Maruti Ciaz VXi,Kochi,2017,44285,Petrol,Manual,First,20,1373,91,5,7
131,131,Mahindra XUV500 AT,Jaipur,2016,54000,Diesel,Automatic,First,16,2179,140,7,13
132,132,Maruti Ritz VXI,Coimbatore,2016,30232,Petrol,Manual,First,21,1197,85,5,6
133,133,Maruti Alto K10,Hyderabad,2014,88500,Petrol,Manual,First,24,998,67,5,3
134,134,Mercedes-Benz SLC 43,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362,2,54
135,135,Hyundai Verna VTVT,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121,5,12
136,136,Maruti Alto LXi,Chennai,2010,94385,Petrol,Manual,Second,19,796,46,5,2
137,137,BMW 1 Series,Coimbatore,2015,31821,Diesel,Automatic,First,20,1995,143,5,17
138,138,Honda Jazz 1.2,Mumbai,2015,12000,Petrol,Automatic,First,19,1199,88,5,6
139,139,Honda Civic 2006-2010,Delhi,2012,88578,Petrol,Manual,First,13,1799,130,5,4
140,140,Mercedes-Benz New C-Class,Kochi,2014,44965,Diesel,Automatic,First,19,2143,170,5,18
141,141,Honda Amaze SX,Kolkata,2014,45044,Diesel,Manual,First,25,1498,98,5,4
142,142,Maruti Swift VVT,Kochi,2016,34204,Petrol,Manual,First,22,1197,81,5,5
144,144,Toyota Fortuner 3.0,Coimbatore,2012,91235,Diesel,Manual,First,11,2982,171,7,13
145,145,Chevrolet Beat LT,Pune,2014,38800,Petrol,Manual,First,18,1199,76,5,3
146,146,Skoda Rapid 1.5,Chennai,2013,83000,Diesel,Manual,First,21,1498,103,5,5
147,147,Maruti Ciaz 1.4,Kochi,2018,41283,Petrol,Manual,First,20,1373,91,5,10
148,148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11,2894,444,4,37
149,149,BMW 3 Series,Mumbai,2014,48000,Diesel,Automatic,First,21,1995,190,5,26
150,150,Audi A4 2.0,Coimbatore,2015,48214,Diesel,Automatic,First,17,1968,174,5,23
151,151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22,1248,74,5,6
152,152,Mercedes-Benz S Class,Kolkata,2010,35277,Petrol,Automatic,First,7,5461,362,5,30
153,153,Skoda Rapid 1.5,Coimbatore,2016,54620,Diesel,Automatic,First,21,1498,103,5,10
154,154,Skoda Superb Elegance,Pune,2012,136997,Diesel,Automatic,First,17,1968,138,5,8
155,155,Hyundai EON Magna,Kochi,2019,14322,Petrol,Manual,First,21,814,55,5,4
156,156,Volkswagen Polo Diesel,Jaipur,2012,65634,Diesel,Manual,First,22,1199,73,5,4
157,157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20,1198,67,5,2
158,158,Honda Brio S,Kolkata,2013,33280,Petrol,Manual,First,19,1198,86,5,2
159,159,Mercedes-Benz B Class,Delhi,2013,29000,Petrol,Automatic,First,14,1595,120,5,11
160,160,Honda City i,Kochi,2015,42831,Diesel,Manual,First,26,1498,98,5,7
161,161,Toyota Innova 2.5,Ahmedabad,2016,90000,Diesel,Manual,First,12,2494,100,7,11
162,162,Maruti Swift VXI,Ahmedabad,2017,24005,Petrol,Manual,First,20,1197,81,5,6
163,163,Mahindra XUV500 W8,Mumbai,2012,32792,Diesel,Manual,First,15,2179,140,7,8
164,164,Ford Ecosport 1.5,Kochi,2014,147898,Diesel,Manual,First,22,1498,89,5,4
165,165,Toyota Fortuner 4x2,Mumbai,2012,131765,Diesel,Manual,First,13,2982,168,7,14
166,166,Volkswagen Vento 1.5,Chennai,2013,65000,Diesel,Automatic,First,21,1498,108,5,6
167,167,Ford Figo Diesel,Jaipur,2010,66123,Diesel,Manual,Second,20,1399,68,5,2
168,168,BMW X5 xDrive,Mumbai,2015,41000,Diesel,Automatic,First,15,2993,258,5,45
169,169,Mercedes-Benz New C-Class,Coimbatore,2017,23550,Diesel,Automatic,First,19,2143,167,5,34
170,170,Honda Brio V,Bangalore,2012,45000,Petrol,Manual,Second,19,1198,86,5,4
171,171,Hyundai i10 Magna,Delhi,2013,60000,Petrol,Manual,First,20,1197,78,5,3
172,172,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17,2143,170,5,42
173,173,Hyundai Grand i10,Kolkata,2019,1000,Petrol,Manual,First,18,1197,81,5,6
174,174,Audi A6 2011-2015,Mumbai,2012,62500,Diesel,Automatic,Second,17,1968,174,5,19
175,175,Volkswagen Vento Petrol,Mumbai,2013,21000,Petrol,Automatic,Second,14,1598,103,5,4
176,176,Mini Countryman Cooper,Jaipur,2017,8525,Diesel,Automatic,Second,16,1998,112,5,23
177,177,Hyundai i20 Asta,Bangalore,2014,29000,Diesel,Manual,First,22,1396,88,5,8
178,178,Audi A6 2011-2015,Mumbai,2014,40000,Diesel,Automatic,First,17,1968,174,5,23
179,179,Chevrolet Beat Diesel,Jaipur,2012,88000,Diesel,Manual,First,25,936,57,5,2
180,180,Skoda Superb Elegance,Kochi,2012,53537,Petrol,Automatic,First,13,1798,157,5,7
181,181,Ford Fiesta 1.4,Chennai,2006,216000,Diesel,Manual,Second,17,1399,68,5,1
182,182,BMW 5 Series,Hyderabad,2014,51000,Diesel,Automatic,First,22,1995,190,5,34
183,183,Chevrolet Optra Magnum,Jaipur,2007,118500,Petrol,Manual,First,12,1598,102,5,1
184,184,Volkswagen Polo Diesel,Hyderabad,2012,63000,Diesel,Manual,First,22,1199,73,5,4
185,185,Renault Lodgy 110PS,Mumbai,2015,25000,Diesel,Manual,First,19,1461,108,8,7
186,186,Mercedes-Benz E-Class E250,Bangalore,2014,37382,Diesel,Automatic,First,13,2143,201,5,32
187,187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21,1197,83,5,8
188,188,Hyundai Verna 1.6,Delhi,2012,62000,Diesel,Manual,First,22,1582,126,5,5
189,189,Hyundai i10 Magna,Kochi,2017,52340,Petrol,Manual,First,19,1086,68,5,4
190,190,Mahindra Scorpio 1.99,Kochi,2016,56739,Diesel,Manual,First,15,1997,120,7,10
191,191,Land Rover Range,Coimbatore,2018,36091,Diesel,Automatic,First,12,2179,187,5,56
192,192,Ford Figo Diesel,Chennai,2010,120000,Diesel,Manual,First,20,1399,68,5,3
193,193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25,1248,88,7,8
195,195,Honda Amaze S,Kolkata,2014,52000,Diesel,Manual,First,25,1498,98,5,4
196,196,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20,1197,78,5,4
197,197,Honda Amaze S,Kolkata,2013,50000,Diesel,Manual,First,25,1498,98,5,3
198,198,Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17,1896,106,5,4
199,199,Renault Duster 85PS,Delhi,2014,90000,Diesel,Manual,First,19,1461,83,5,5
200,200,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17,1493,100,7,6
201,201,Maruti Vitara Brezza,Mumbai,2016,20000,Diesel,Manual,First,24,1248,88,5,9
202,202,Hyundai i20 Asta,Kochi,2016,61012,Petrol,Manual,First,18,1197,81,5,6
203,203,Skoda Fabia 1.4,Jaipur,2009,87459,Petrol,Manual,First,14,1390,85,5,3
204,204,Tata Indigo eCS,Pune,2010,70500,Petrol,Manual,First,15,1193,64,5,2
205,205,Audi Q3 2012-2015,Delhi,2015,64103,Diesel,Automatic,First,15,1968,174,5,20
206,206,Skoda Octavia Elegance,Mumbai,2014,76000,Petrol,Automatic,First,14,1798,177,5,10
207,207,Toyota Etios Liva,Delhi,2014,104000,Diesel,Manual,First,23,1364,67,5,3
209,209,Mercedes-Benz B Class,Kochi,2014,37245,Petrol,Automatic,First,14,1595,120,5,12
210,210,Honda Amaze S,Kolkata,2013,45000,Diesel,Manual,First,27,1498,98,5,3
211,211,Hyundai Verna 1.6,Jaipur,2012,117837,Diesel,Manual,Second,22,1582,126,5,5
212,212,Renault Duster 85PS,Mumbai,2014,30000,Diesel,Manual,First,20,1461,83,5,6
213,213,Hyundai Creta 1.6,Delhi,2015,27057,Petrol,Manual,Second,15,1591,121,5,8
214,214,Maruti Wagon R,Mumbai,2016,8500,Petrol,Automatic,First,20,998,67,5,4
215,215,Mercedes-Benz New C-Class,Kolkata,2010,30500,Petrol,Automatic,First,11,1796,186,5,10
216,216,Audi A8 L,Delhi,2012,56000,Diesel,Automatic,First,11,2967,246,5,45
217,217,Hyundai i10 Magna,Pune,2012,44000,Petrol,Manual,Second,19,1086,68,5,3
218,218,Skoda Rapid 1.6,Mumbai,2017,10500,Petrol,Automatic,First,14,1598,103,5,9
219,219,Skoda Superb Style,Hyderabad,2017,26000,Petrol,Automatic,First,14,1798,177,5,26
220,220,Hyundai i20 Active,Coimbatore,2018,25166,Petrol,Manual,First,17,1197,81,5,8
221,221,Honda Amaze VX,Kolkata,2014,64000,Diesel,Manual,Second,25,1498,98,5,4
222,222,Maruti Wagon R,Chennai,2004,61000,Petrol,Manual,Second,18,998,67,5,1
223,223,Mahindra Verito 1.5,Hyderabad,2013,107000,Diesel,Manual,First,21,1461,65,5,4
224,224,Mercedes-Benz New C-Class,Coimbatore,2018,29161,Diesel,Automatic,First,19,2143,167,5,39
225,225,Maruti Wagon R,Kolkata,2013,32000,Petrol,Manual,First,22,998,67,5,3
226,226,Nissan Terrano XV,Coimbatore,2015,46173,Diesel,Manual,Second,19,1461,108,5,9
228,228,Mini Cooper Convertible,Kochi,2017,26327,Petrol,Automatic,First,16,1998,189,4,36
230,230,Tata Indica V2,Jaipur,2007,200000,Diesel,Manual,Second,17,1396,53,5,1
231,231,Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,18,1199,76,5,3
232,232,Volkswagen Polo Diesel,Mumbai,2012,45000,Diesel,Manual,First,22,1199,73,5,4
233,233,Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,First,22,1248,74,5,7
234,234,Ford Figo Diesel,Kolkata,2012,41284,Diesel,Manual,First,20,1399,68,5,2
235,235,Toyota Innova Crysta,Kochi,2019,14165,Diesel,Automatic,First,11,2755,171,7,20
236,236,Hyundai Santa Fe,Mumbai,2011,67000,Diesel,Automatic,Second,11,2199,194,7,7
237,237,Honda City i-VTEC,Kolkata,2011,32572,Petrol,Manual,First,17,1497,117,5,4
238,238,Hyundai i20 1.2,Kochi,2018,14960,Petrol,Manual,First,18,1197,81,5,6
239,239,Mercedes-Benz New C-Class,Kochi,2015,55980,Diesel,Automatic,First,19,2143,167,5,18
240,240,Chevrolet Beat Diesel,Mumbai,2013,74000,Diesel,Manual,First,25,936,57,5,3
241,241,Hyundai i20 Sportz,Kochi,2015,56847,Diesel,Manual,First,22,1396,88,5,7
242,242,Toyota Innova 2.5,Coimbatore,2015,121374,Diesel,Manual,First,12,2494,100,7,14
243,243,Maruti Ertiga VDI,Chennai,2013,52000,Diesel,Manual,First,20,1248,88,7,7
244,244,Toyota Innova 2.5,Mumbai,2014,118000,Diesel,Manual,First,12,2494,102,7,11
246,246,Honda City i,Kochi,2016,33915,Petrol,Manual,First,17,1497,117,5,8
247,247,BMW X1 sDrive20d,Ahmedabad,2014,82002,Diesel,Automatic,First,17,1995,184,5,18
248,248,Hyundai Grand i10,Mumbai,2017,33000,Diesel,Manual,First,24,1120,70,5,5
249,249,Maruti Ciaz 1.3,Chennai,2016,34000,Diesel,Manual,First,28,1248,88,5,8
250,250,Skoda Rapid Leisure,Kolkata,2012,55000,Diesel,Manual,First,20,1598,103,5,4
251,251,Hyundai Accent CRDi,Kochi,2006,160538,Diesel,Manual,First,13,1493,82,5,2
252,252,Volkswagen Polo GT,Jaipur,2014,60000,Diesel,Manual,Second,19,1498,103,5,4
253,253,Honda Jazz 1.2,Coimbatore,2017,49575,Petrol,Manual,First,18,1199,88,5,7
254,254,Hyundai i10 Era,Jaipur,2010,83000,Petrol,Manual,First,19,1086,68,5,2
255,255,Hyundai Tucson 2.0,Kochi,2018,51346,Diesel,Automatic,First,16,1995,183,5,22
256,256,Toyota Innova Crysta,Pune,2017,43000,Diesel,Manual,First,13,2393,147,7,19
257,257,Maruti Omni MPI,Jaipur,2011,35000,Petrol,Manual,Third,19,796,35,5,2
258,258,Maruti Swift VXI,Coimbatore,2017,27872,Petrol,Manual,Second,20,1197,81,5,6
259,259,Hyundai Grand i10,Mumbai,2014,16514,Petrol,Manual,First,18,1197,82,5,4
260,260,Maruti Swift VDI,Pune,2012,120000,Diesel,Manual,First,22,1248,74,5,4
261,261,Hyundai Verna CRDi,Hyderabad,2008,143275,Diesel,Manual,First,22,1582,126,5,3
263,263,Hyundai i20 1.2,Mumbai,2010,52000,Petrol,Manual,First,17,1197,80,5,3
264,264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,Diesel,Automatic,First,11,2987,254,5,61
265,265,Mercedes-Benz New C-Class,Bangalore,2014,57000,Diesel,Manual,Second,15,2148,170,5,18
266,266,Maruti Ritz ZDi,Hyderabad,2014,88500,Diesel,Manual,First,23,1248,73,5,4
267,267,Hyundai Creta 1.6,Bangalore,2016,28000,Diesel,Manual,First,19,1582,126,5,14
268,268,Maruti A-Star Vxi,Pune,2010,67000,Petrol,Manual,First,19,998,66,5,2
269,269,Renault Duster 110PS,Delhi,2016,26000,Diesel,Manual,First,19,1461,108,5,10
270,270,Fiat Grande Punto,Delhi,2010,120000,Diesel,Manual,First,17,1248,76,5,2
271,271,BMW X3 xDrive30d,Coimbatore,2017,51982,Diesel,Automatic,First,16,2993,258,5,46
272,272,Hyundai i10 Sportz,Bangalore,2010,36000,Petrol,Manual,Second,20,1197,78,5,3
273,273,Toyota Innova 2.5,Pune,2016,47000,Diesel,Manual,First,12,2494,102,7,13
274,274,Maruti Zen VXI,Mumbai,2002,60000,Petrol,Manual,Third,17,993,60,5,1
275,275,Maruti Swift VDI,Hyderabad,2018,31025,Diesel,Manual,First,28,1248,74,5,7
276,276,Mahindra Scorpio VLX,Pune,2013,105000,Diesel,Manual,Second,12,2179,120,8,7
277,277,Tata Zest Quadrajet,Pune,2017,121900,Diesel,Manual,First,22,1248,74,5,4
278,278,Ford EcoSport 1.0,Mumbai,2017,22695,Petrol,Manual,First,18,999,123,5,8
279,279,Maruti Swift Dzire,Jaipur,2012,73000,Diesel,Manual,First,23,1248,74,5,4
280,280,Maruti Alto 800,Kochi,2016,32227,Petrol,Manual,First,22,796,47,5,3
281,281,Honda City 1.5,Jaipur,2011,55000,Petrol,Manual,First,17,1497,118,5,4
282,282,Audi Q7 3.0,Kochi,2018,11287,Diesel,Automatic,First,12,2967,241,7,70
283,283,Skoda Laura 1.9,Mumbai,2009,48000,Diesel,Automatic,Second,17,1896,105,5,3
284,284,Hyundai Verna 1.6,Kochi,2012,54308,Petrol,Manual,First,17,1591,121,5,4
285,285,Honda City 1.5,Jaipur,2009,78442,Petrol,Automatic,First,16,1497,118,5,4
286,286,Hyundai i20 Magna,Kolkata,2013,46000,Diesel,Manual,First,21,1396,88,5,3
287,287,Hyundai i20 Sportz,Coimbatore,2014,45051,Petrol,Automatic,First,15,1396,98,5,6
